H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
      1 0.0000000E+00 0.0000000E+00 0.0000000E+00
      2 0.7500000E-02 0.0000000E+00 0.0000000E+00
      3 0.3000000E-01 0.0000000E+00 0.0000000E+00
      4 0.5999999E-01 0.0000000E+00 0.0000000E+00
      5 0.9000000E-01 0.0000000E+00 0.0000000E+00
      6 0.1200000     0.0000000E+00 0.0000000E+00
      7 0.1500000     0.0000000E+00 0.0000000E+00
      8 0.1800000     0.0000000E+00 0.0000000E+00
      9 0.2100000     0.0000000E+00 0.0000000E+00
     10 0.2400000     0.0000000E+00 0.0000000E+00
     11 0.2700000     0.0000000E+00 0.0000000E+00
     12 0.3000000     0.0000000E+00 0.0000000E+00
     13 0.3300000     0.0000000E+00 0.0000000E+00
     14 0.3600000     0.0000000E+00 0.0000000E+00
     15 0.3900000     0.0000000E+00 0.0000000E+00
     16 0.4200000     0.0000000E+00 0.0000000E+00
     17 0.4500000     0.0000000E+00 0.0000000E+00
     18 0.4800000     0.0000000E+00 0.0000000E+00
     19 0.5100000     0.0000000E+00 0.0000000E+00
     20 0.5400000     0.0000000E+00 0.0000000E+00
     21 0.5699999     0.0000000E+00 0.0000000E+00
     22 0.5999999     0.0000000E+00 0.0000000E+00
     23 0.6299999     0.0000000E+00 0.0000000E+00
     24 0.6599998     0.0000000E+00 0.0000000E+00
     25 0.6899998     0.0000000E+00 0.0000000E+00
     26 0.7199998     0.0000000E+00 0.0000000E+00
     27 0.7499998     0.0000000E+00 0.0000000E+00
     28 0.7799997     0.0000000E+00 0.0000000E+00
     29 0.8099997     0.0000000E+00 0.0000000E+00
     30 0.8399997     0.0000000E+00 0.0000000E+00
     31 0.8699996     0.0000000E+00 0.0000000E+00
     32 0.8999996     0.0000000E+00 0.0000000E+00
     33 0.9299996     0.0000000E+00 0.0000000E+00
     34 0.9599996     0.0000000E+00 0.0000000E+00
     35 0.9899995     0.0000000E+00 0.0000000E+00
     36  1.020000     0.0000000E+00 0.0000000E+00
     37  1.049999     0.0000000E+00 0.0000000E+00
     38  1.079999     0.7981407E-03 0.6983170E-02
     39  1.109999     0.1889192E-02 0.1035102E-01
     40  1.139999     0.2514477E-02 0.1154866E-01
     41  1.169999     0.1693581E-01 0.2738632E-01
     42  1.199999     0.2851383E-01 0.3782198E-01
     43  1.229999     0.5068008E-01 0.4429694E-01
     44  1.259999     0.9286652E-01 0.6021048E-01
     45  1.289999     0.1648467     0.8600099E-01
     46  1.319999     0.3301807     0.1031040    
     47  1.349999     0.4479623     0.1085036    
     48  1.379999     0.6781664     0.1482553    
     49  1.409999     0.9252295     0.1989253    
     50  1.439999      1.159585     0.1839790    
     51  1.469999      1.409067     0.1908574    
     52  1.499999      1.584558     0.2162436    
     53  1.529999      1.706037     0.1770375    
     54  1.559999      1.634921     0.2047471    
     55  1.589999      1.548669     0.1953174    
     56  1.619999      1.345122     0.1671460    
     57  1.649999      1.092116     0.1516225    
     58  1.679999     0.9330298     0.1381228    
     59  1.709999     0.6334869     0.1167706    
     60  1.739999     0.4529241     0.1098303    
     61  1.769999     0.3280065     0.7975625E-01
     62  1.799999     0.2472807     0.7763823E-01
     63  1.829999     0.2085880     0.6745382E-01
     64  1.859999     0.2201703     0.6700954E-01
     65  1.889999     0.2514645     0.7490473E-01
     66  1.919999     0.3044227     0.7897761E-01
     67  1.949999     0.3750437     0.8582541E-01
     68  1.979999     0.4555026     0.9230639E-01
     69  2.009999     0.5427595     0.9889745E-01
     70  2.039999     0.6385142     0.1062619    
     71  2.069999     0.7397020     0.1095430    
     72  2.099998     0.8342065     0.1154734    
     73  2.129998     0.9279909     0.1205108    
     74  2.159998      1.015242     0.1240321    
     75  2.189998      1.092877     0.1288406    
     76  2.219998      1.161151     0.1288614    
     77  2.249998      1.214594     0.1323661    
     78  2.279998      1.247865     0.1314919    
     79  2.309998      1.271351     0.1315236    
     80  2.339998      1.283189     0.1307765    
     81  2.369998      1.279696     0.1278299    
     82  2.399998      1.267256     0.1264752    
     83  2.429998      1.242645     0.1206746    
     84  2.459998      1.207583     0.1167334    
     85  2.489998      1.172200     0.1146370    
     86  2.519998      1.129881     0.1114336    
     87  2.549998      1.081853     0.1093483    
     88  2.579998      1.036751     0.1078179    
     89  2.609998     0.9939508     0.1018581    
     90  2.639998     0.9514706     0.9878830E-01
     91  2.669998     0.9136250     0.9507263E-01
     92  2.699998     0.8771285     0.9184199E-01
     93  2.729998     0.8495263     0.9219792E-01
     94  2.759998     0.8246217     0.8936214E-01
     95  2.789998     0.8019246     0.8707713E-01
     96  2.819998     0.7851200     0.8507416E-01
     97  2.849998     0.7737301     0.8333424E-01
     98  2.879998     0.7656086     0.8190472E-01
     99  2.909998     0.7633717     0.8215577E-01
    100  2.939998     0.7620395     0.8090490E-01
    101  2.969998     0.7648299     0.7924385E-01
    102  2.999998     0.7699579     0.7820964E-01
    103  3.029998     0.7789172     0.7828581E-01
    104  3.059998     0.7873493     0.7756759E-01
    105  3.089998     0.8033755     0.7952054E-01
    106  3.119998     0.8161374     0.7582562E-01
    107  3.149997     0.8310729     0.7788315E-01
    108  3.179997     0.8454793     0.7630713E-01
    109  3.209997     0.8616043     0.7715230E-01
    110  3.239997     0.8788194     0.7672194E-01
    111  3.269997     0.8944678     0.7833073E-01
    112  3.299997     0.9138691     0.7683490E-01
    113  3.329997     0.9331530     0.7651151E-01
    114  3.359997     0.9525682     0.7743955E-01
    115  3.389997     0.9720349     0.7632235E-01
    116  3.419997     0.9914312     0.7781195E-01
    117  3.449997      1.011106     0.7742146E-01
    118  3.479997      1.033663     0.7589986E-01
    119  3.509997      1.051862     0.7864891E-01
    120  3.539997      1.068885     0.7919569E-01
    121  3.569997      1.087276     0.7816314E-01
    122  3.599997      1.099531     0.7736600E-01
    123  3.629997      1.114141     0.7822564E-01
    124  3.659997      1.129576     0.7723337E-01
    125  3.689997      1.135759     0.7643513E-01
    126  3.719997      1.144634     0.7575995E-01
    127  3.749997      1.150828     0.7720327E-01
    128  3.779997      1.157747     0.7610533E-01
    129  3.809997      1.155586     0.7434794E-01
    130  3.839997      1.158897     0.7329832E-01
    131  3.869997      1.152945     0.7458965E-01
    132  3.899997      1.150998     0.7254716E-01
    133  3.929997      1.145716     0.7229778E-01
    134  3.959997      1.142248     0.7220457E-01
    135  3.989997      1.134502     0.7099330E-01
    136  4.019997      1.125847     0.6977896E-01
    137  4.049997      1.119012     0.6845609E-01
    138  4.079998      1.108357     0.6854136E-01
    139  4.109998      1.105351     0.6844825E-01
    140  4.139998      1.096884     0.6783156E-01
    141  4.169998      1.087640     0.6667319E-01
    142  4.199998      1.079556     0.6574957E-01
    143  4.229999      1.071357     0.6450304E-01
    144  4.259999      1.066195     0.6412677E-01
    145  4.289999      1.058291     0.6396298E-01
    146  4.319999      1.051914     0.6296935E-01
    147  4.349999      1.046170     0.6097751E-01
    148  4.380000      1.041176     0.6143133E-01
    149  4.410000      1.031962     0.6135949E-01
    150  4.440000      1.028174     0.6040002E-01
    151  4.470000      1.024286     0.6133423E-01
    152  4.500000      1.019015     0.5829698E-01
    153  4.530001      1.016230     0.5814444E-01
    154  4.560001      1.010538     0.5878063E-01
    155  4.590001      1.007342     0.5806955E-01
    156  4.620001      1.002941     0.5785154E-01
    157  4.650002      1.003077     0.5707045E-01
    158  4.680002     0.9989977     0.5585274E-01
    159  4.710002     0.9954097     0.5717948E-01
    160  4.740002     0.9920114     0.5555205E-01
    161  4.770002     0.9883648     0.5471529E-01
    162  4.800003     0.9855831     0.5377471E-01
    163  4.830003     0.9829490     0.5443460E-01
    164  4.860003     0.9801706     0.5392746E-01
    165  4.890003     0.9793651     0.5413595E-01
    166  4.920003     0.9770788     0.5420857E-01
    167  4.950004     0.9733227     0.5293912E-01
    168  4.980004     0.9733432     0.5298020E-01
    169  5.010004     0.9718290     0.5293406E-01
    170  5.040004     0.9707283     0.5205122E-01
    171  5.070004     0.9699141     0.5098975E-01
    172  5.100005     0.9676787     0.4987286E-01
    173  5.130005     0.9662928     0.5116072E-01
    174  5.160005     0.9660853     0.5053298E-01
    175  5.190005     0.9639637     0.5019985E-01
    176  5.220006     0.9654065     0.4963025E-01
    177  5.250006     0.9650747     0.5037527E-01
    178  5.280006     0.9646386     0.4982802E-01
    179  5.310006     0.9634484     0.4891898E-01
    180  5.340006     0.9649152     0.4935144E-01
    181  5.370007     0.9657601     0.4875788E-01
    182  5.400007     0.9667504     0.4810500E-01
    183  5.430007     0.9667353     0.4843223E-01
    184  5.460007     0.9672562     0.4798093E-01
    185  5.490007     0.9688439     0.4838545E-01
    186  5.520008     0.9691828     0.4774744E-01
    187  5.550008     0.9710162     0.4675787E-01
    188  5.580008     0.9726861     0.4667111E-01
    189  5.610008     0.9731666     0.4676998E-01
    190  5.640008     0.9742082     0.4722023E-01
    191  5.670009     0.9754958     0.4591077E-01
    192  5.700009     0.9770185     0.4577034E-01
    193  5.730009     0.9796776     0.4590363E-01
    194  5.760009     0.9822837     0.4646119E-01
    195  5.790009     0.9839363     0.4581980E-01
